pkey,pkey_cat,icd9_code,icd10_code,flags
01591-A1802,icd9-icd10,01591,A1802,10000
01591-A1803,icd9-icd10,01591,A1803,10000
01592-A1802,icd9-icd10,01592,A1802,10000
01592-A1803,icd9-icd10,01592,A1803,10000
01593-A1802,icd9-icd10,01593,A1802,10000
01593-A1803,icd9-icd10,01593,A1803,10000
01594-A1802,icd9-icd10,01594,A1802,10000
01594-A1803,icd9-icd10,01594,A1803,10000
01595-A1802,icd9-icd10,01595,A1802,10000
01595-A1803,icd9-icd10,01595,A1803,10000
01596-A1802,icd9-icd10,01596,A1802,10000
01596-A1803,icd9-icd10,01596,A1803,10000
01600-A1811,icd9-icd10,01600,A1811,10000
01601-A1811,icd9-icd10,01601,A1811,10000
01602-A1811,icd9-icd10,01602,A1811,10000
01603-A1811,icd9-icd10,01603,A1811,10000
01604-A1811,icd9-icd10,01604,A1811,10000
01605-A1811,icd9-icd10,01605,A1811,10000
01606-A1811,icd9-icd10,01606,A1811,10000
01610-A1812,icd9-icd10,01610,A1812,10000
01611-A1812,icd9-icd10,01611,A1812,10000
01612-A1812,icd9-icd10,01612,A1812,10000
01613-A1812,icd9-icd10,01613,A1812,10000
01614-A1812,icd9-icd10,01614,A1812,10000
01615-A1812,icd9-icd10,01615,A1812,10000
01616-A1812,icd9-icd10,01616,A1812,10000
01620-A1811,icd9-icd10,01620,A1811,10000
01621-A1811,icd9-icd10,01621,A1811,10000
01622-A1811,icd9-icd10,01622,A1811,10000
01623-A1811,icd9-icd10,01623,A1811,10000
01624-A1811,icd9-icd10,01624,A1811,10000
01625-A1811,icd9-icd10,01625,A1811,10000
01626-A1811,icd9-icd10,01626,A1811,10000
01630-A1813,icd9-icd10,01630,A1813,10000
01631-A1813,icd9-icd10,01631,A1813,10000
01632-A1813,icd9-icd10,01632,A1813,10000
01633-A1813,icd9-icd10,01633,A1813,10000
01634-A1813,icd9-icd10,01634,A1813,10000
01635-A1813,icd9-icd10,01635,A1813,10000
01636-A1813,icd9-icd10,01636,A1813,10000
01640-A1815,icd9-icd10,01640,A1815,10000
01641-A1815,icd9-icd10,01641,A1815,10000
01642-A1815,icd9-icd10,01642,A1815,10000
01643-A1815,icd9-icd10,01643,A1815,10000
01644-A1815,icd9-icd10,01644,A1815,10000
01645-A1815,icd9-icd10,01645,A1815,10000
01646-A1815,icd9-icd10,01646,A1815,10000
01650-A1814,icd9-icd10,01650,A1814,10000
01650-A1815,icd9-icd10,01650,A1815,10000
01651-A1814,icd9-icd10,01651,A1814,10000
01651-A1815,icd9-icd10,01651,A1815,10000
01652-A1814,icd9-icd10,01652,A1814,10000
01652-A1815,icd9-icd10,01652,A1815,10000
01653-A1814,icd9-icd10,01653,A1814,10000
01653-A1815,icd9-icd10,01653,A1815,10000
01654-A1814,icd9-icd10,01654,A1814,10000
01654-A1815,icd9-icd10,01654,A1815,10000
01655-A1814,icd9-icd10,01655,A1814,10000
01655-A1815,icd9-icd10,01655,A1815,10000
01656-A1814,icd9-icd10,01656,A1814,10000
01656-A1815,icd9-icd10,01656,A1815,10000
01660-A1817,icd9-icd10,01660,A1817,10000
01661-A1817,icd9-icd10,01661,A1817,10000
01662-A1817,icd9-icd10,01662,A1817,10000
01663-A1817,icd9-icd10,01663,A1817,10000
01664-A1817,icd9-icd10,01664,A1817,10000
01665-A1817,icd9-icd10,01665,A1817,10000
01666-A1817,icd9-icd10,01666,A1817,10000
01670-A1816,icd9-icd10,01670,A1816,10000
01670-A1817,icd9-icd10,01670,A1817,10000
01670-A1818,icd9-icd10,01670,A1818,10000
01671-A1816,icd9-icd10,01671,A1816,10000
01671-A1817,icd9-icd10,01671,A1817,10000
01671-A1818,icd9-icd10,01671,A1818,10000
01672-A1816,icd9-icd10,01672,A1816,10000
01672-A1817,icd9-icd10,01672,A1817,10000
01672-A1818,icd9-icd10,01672,A1818,10000
01673-A1816,icd9-icd10,01673,A1816,10000
01673-A1817,icd9-icd10,01673,A1817,10000
01673-A1818,icd9-icd10,01673,A1818,10000
01674-A1816,icd9-icd10,01674,A1816,10000
01674-A1817,icd9-icd10,01674,A1817,10000
01674-A1818,icd9-icd10,01674,A1818,10000
01675-A1816,icd9-icd10,01675,A1816,10000
01675-A1817,icd9-icd10,01675,A1817,10000
01675-A1818,icd9-icd10,01675,A1818,10000
01676-A1816,icd9-icd10,01676,A1816,10000
01676-A1817,icd9-icd10,01676,A1817,10000
01676-A1818,icd9-icd10,01676,A1818,10000
01690-A1810,icd9-icd10,01690,A1810,10000
01691-A1810,icd9-icd10,01691,A1810,10000
01692-A1810,icd9-icd10,01692,A1810,10000
01693-A1810,icd9-icd10,01693,A1810,10000
01694-A1810,icd9-icd10,01694,A1810,10000
01695-A1810,icd9-icd10,01695,A1810,10000
01696-A1810,icd9-icd10,01696,A1810,10000
01700-A184,icd9-icd10,01700,A184,10000
01701-A184,icd9-icd10,01701,A184,10000
01702-A184,icd9-icd10,01702,A184,10000
01703-A184,icd9-icd10,01703,A184,10000
01704-A184,icd9-icd10,01704,A184,10000
01705-A184,icd9-icd10,01705,A184,10000
01706-A184,icd9-icd10,01706,A184,10000
01710-A184,icd9-icd10,01710,A184,10000
01711-A184,icd9-icd10,01711,A184,10000
01712-A184,icd9-icd10,01712,A184,10000
01713-A184,icd9-icd10,01713,A184,10000
01714-A184,icd9-icd10,01714,A184,10000
01715-A184,icd9-icd10,01715,A184,10000
01716-A184,icd9-icd10,01716,A184,10000
01720-A182,icd9-icd10,01720,A182,10000
01721-A182,icd9-icd10,01721,A182,10000
01722-A182,icd9-icd10,01722,A182,10000
01723-A182,icd9-icd10,01723,A182,10000
01724-A182,icd9-icd10,01724,A182,10000
01725-A182,icd9-icd10,01725,A182,10000
01726-A182,icd9-icd10,01726,A182,10000
01730-A1850,icd9-icd10,01730,A1850,10000
01730-A1851,icd9-icd10,01730,A1851,10000
01730-A1852,icd9-icd10,01730,A1852,10000
01730-A1853,icd9-icd10,01730,A1853,10000
01730-A1854,icd9-icd10,01730,A1854,10000
01730-A1859,icd9-icd10,01730,A1859,10000
01731-A1850,icd9-icd10,01731,A1850,10000
01731-A1851,icd9-icd10,01731,A1851,10000
01731-A1852,icd9-icd10,01731,A1852,10000
01731-A1854,icd9-icd10,01731,A1854,10000
01731-A1859,icd9-icd10,01731,A1859,10000
01732-A1850,icd9-icd10,01732,A1850,10000
01732-A1851,icd9-icd10,01732,A1851,10000
01732-A1852,icd9-icd10,01732,A1852,10000
01732-A1854,icd9-icd10,01732,A1854,10000
01732-A1859,icd9-icd10,01732,A1859,10000
01733-A1850,icd9-icd10,01733,A1850,10000
01733-A1851,icd9-icd10,01733,A1851,10000
01733-A1852,icd9-icd10,01733,A1852,10000
01733-A1854,icd9-icd10,01733,A1854,10000
01733-A1859,icd9-icd10,01733,A1859,10000
01734-A1850,icd9-icd10,01734,A1850,10000
01734-A1851,icd9-icd10,01734,A1851,10000
01734-A1852,icd9-icd10,01734,A1852,10000
01734-A1854,icd9-icd10,01734,A1854,10000
01734-A1859,icd9-icd10,01734,A1859,10000
01735-A1850,icd9-icd10,01735,A1850,10000
01735-A1851,icd9-icd10,01735,A1851,10000
01735-A1852,icd9-icd10,01735,A1852,10000
01735-A1854,icd9-icd10,01735,A1854,10000
01735-A1859,icd9-icd10,01735,A1859,10000
01736-A1850,icd9-icd10,01736,A1850,10000
01736-A1851,icd9-icd10,01736,A1851,10000
01736-A1852,icd9-icd10,01736,A1852,10000
01736-A1854,icd9-icd10,01736,A1854,10000
01736-A1859,icd9-icd10,01736,A1859,10000
01740-A186,icd9-icd10,01740,A186,10000
01741-A186,icd9-icd10,01741,A186,10000
01742-A186,icd9-icd10,01742,A186,10000
01743-A186,icd9-icd10,01743,A186,10000
01744-A186,icd9-icd10,01744,A186,10000
01745-A186,icd9-icd10,01745,A186,10000
01746-A186,icd9-icd10,01746,A186,10000
01750-A1881,icd9-icd10,01750,A1881,10000
01751-A1881,icd9-icd10,01751,A1881,10000
01752-A1881,icd9-icd10,01752,A1881,10000
01753-A1881,icd9-icd10,01753,A1881,10000
01754-A1881,icd9-icd10,01754,A1881,10000
01755-A1881,icd9-icd10,01755,A1881,10000
01756-A1881,icd9-icd10,01756,A1881,10000
01760-A187,icd9-icd10,01760,A187,10000
01761-A187,icd9-icd10,01761,A187,10000
01762-A187,icd9-icd10,01762,A187,10000
01763-A187,icd9-icd10,01763,A187,10000
01764-A187,icd9-icd10,01764,A187,10000
01765-A187,icd9-icd10,01765,A187,10000
